#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,link,desc
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,https://img.pokemondb.net/sprites/home/normal/wartortle.png,"Wartortle is a bipedal, indigo reptilian Pokémon similar to a turtle. It has brown eyes, a dark blue streak on each cheek, and two sharp teeth protruding from its upper jaw. It has three clawed fingers and pointed toes. On each side of its head are feather-like ears covered in pale blue fur. A brown shell with a pale yellow underside encases its body. A thick, white rim separates the upper and lower halves of the shell. An older Wartortle may have scars and algae growing on its shell. Poking out of the bottom of the shell is a thick, wavy tail that also has light blue fur and cannot be fully withdrawn into its shell. Its tail fur will darken with age. Its tail is a popular symbol of longevity and good luck, making this Pokémon popular with the elderly.
"
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,https://img.pokemondb.net/sprites/home/normal/blastoise.png,"Blastoise is a large, bipedal turtle Pokémon. Its body is blue and is mostly hidden by its tough, brown shell. This shell has a cream-colored underside and a white ridge encircling its arms and separating the upper and lower halves. Two powerful water cannons reside at the top of its shell over its shoulders. These cannons can be extended or withdrawn. Blastoise's head has triangular ears that are black on the inside, small brown eyes, and a cream-colored lower jaw. Its arms are thick, and it has three claws on each hand. Its feet have three claws on the front and one on the back. Poking out of the bottom of its shell is a stubby tail.
"
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,https://img.pokemondb.net/sprites/home/normal/blastoise-mega.png,
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,https://img.pokemondb.net/sprites/home/normal/caterpie.png,"Caterpie is an insect Pokémon that resembles a green caterpillar with a yellow underside and teardrop-shaped tail. There are yellow ring-shaped markings down the sides of its segmented body, which resemble its eyes and are meant to scare off predators. Its most notable characteristic is the bright red antenna (osmeterium) on its head, which releases a stench to repel predators. Despite these features and its camouflage in green foliage, Caterpie is often preyed upon by Flying-type Pokémon. Its four tiny feet are tipped with suction cups, permitting this Pokémon to scale most surfaces with minimal effort.
"
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,https://img.pokemondb.net/sprites/home/normal/metapod.png,"Metapod is an insect Pokémon that resembles a green chrysalis. Its body is crescent-shaped with several segments making up the lower point. The front of Metapod's shell resembles a face with heavy-lidded eyes and a sharply pointed nose. The back of its shell consists of several geometrically shaped portions and projections.
"
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,https://img.pokemondb.net/sprites/home/normal/butterfree.png,"Butterfree is a lepidopteran insect Pokémon which resembles a vaguely anthropomorphic butterfly with a purple body. Unlike true insects, it only has two body segments and four light blue legs. The upper pair of its legs resemble small, three-fingered hands, while the lower pair resembles long, digit-less feet. Butterfree has two black antennae, a light blue snout with two fangs underneath, and large, red compound eyes. Its two pairs of wings are white with black venation. Two oval scales on a female Butterfree's lower wings are black, but they are white on a male.
"
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,https://img.pokemondb.net/sprites/home/normal/weedle.png,"Weedle is a larval insect Pokémon with a segmented body ranging in color from yellow to reddish-brown. Each segment of its body is a sphere. It has a bulbous red nose, two small, black eyes on its face and two spherical feet on each body segment. The combination of red and yellow in its color scheme creates a bright warning to predators that it is poisonous. Weedle has a conical, two-inch (five centimeter) venomous stinger on its head and a barbed one on its tail. Weedle can retaliate against attackers and those who step on it with its strong toxin. It can distinguish its favorite kinds of leaves using its acute sense of smell. As a young Bug-type Pokémon, its daily appetite for leaves matches its weight. Weedle can be found in temperate forests and usually hides in grass, bushes, and under the leaves it eats.
"
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,https://img.pokemondb.net/sprites/home/normal/kakuna.png,"Kakuna is a yellow, insect cocoon-like Pokémon. Kakuna has a dome-shaped head and black, triangular eyes with glowing white pupils. It has two scythe-like arms in the middle of its body. When it comes close to evolving, its body gives off heat that makes it warm to the touch. Kakuna remains virtually immobile and waits for evolution, often hanging from tree branches by long strands of silk. When attacked, however, it can extend its poison barbs. Kakuna nests in temperate forests and misty wooded areas. Occasionally, it will also nest at the mouth of tunnels and caves, as seen in Pokémon Snap.
"
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,https://img.pokemondb.net/sprites/home/normal/beedrill.png,"Beedrill is an insect Pokémon which mostly resembles a bipedal, yellow wasp; however, it only has four legs instead of six and lacks pigment pits. Beedrill's head is round with a slightly pointed mouth; large, red eyes; and black antennae with a sharp bend in the middle. Its forelegs are tipped with long, conical stingers. It stands on its other two legs, which are long, segmented, and insectoid in shape. Beedrill has two pairs of rounded, veined wings and another stinger on its yellow-and-black striped abdomen. The abdominal stinger contains Beedrill's most potent poison.
"
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,https://img.pokemondb.net/sprites/home/normal/beedrill-mega.png,
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,https://img.pokemondb.net/sprites/home/normal/pidgey.png,"Pidgey is a small, plump-bodied avian Pokémon. It is primarily brown with a cream-colored face, underside, and flight feathers. On top of its head is a short crest of three tufts. The center crest feathers are brown and the outer two tufts are cream-colored. Just under its crest are its narrow eyes which have white sclera and pupil along with its black irises. Angular black marking extend from behind its eyes and continue down its cheeks. It has a short, stubby beak and feet with two toes in front and one in back. Both its beak and feet are a grayish-pink. It has a short, brown tail made of three feathers.
"
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,https://img.pokemondb.net/sprites/home/normal/pidgeotto.png,"Pidgeotto is a raptor-like avian Pokémon. It is covered with brown feathers, has a cream-colored face, underside, and flight feathers. It has a crest of pinkish-red feathers on its head and black, angular markings behind its black eyes. The plumage of its tail has alternating red and yellow feathers with ragged tips. Pidgeotto's beak and legs are pink. Two of its toes point forward, while one points backward. Additionally, it has powerful, sharp talons that it uses to grasp prey.
"
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,https://img.pokemondb.net/sprites/home/normal/pidgeot.png,"Pidgeot is an avian Pokémon with large wings, sharp talons, and a short, hooked beak. Its glossy plumage is mostly brown with cream-colored underparts and flight feathers. Its head has a decorated crest that is nearly as long as its body. The center feathers of its crest are yellow, while the outer feathers are red. The fan-like feathers of its tail are red or brown. Its beak and legs are pink, and there are three forward-facing toes and one backward-facing toe on each foot. Behind each eye is an angular black marking.
"
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,https://img.pokemondb.net/sprites/home/normal/pidgeot-mega.png,
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,https://img.pokemondb.net/sprites/home/normal/rattata.png,"Rattata is a small, quadrupedal rodent Pokémon. It has purple fur with a cream-colored face, paws, and underbelly. It has narrow eyes containing white sclera and pupil with red irises, rounded ears with cream-colored insides, and a single whisker on each cheek. Its long tail is tightly curled at the end. Its most notable feature is its large teeth. Like most rodents, its teeth grow continuously throughout its life and must be worn down by gnawing. A female Rattata will have shorter whiskers and lighter fur.
"
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,https://img.pokemondb.net/sprites/home/normal/raticate.png,"Raticate is a large, rodent-like Pokémon. Although it is often depicted on its hind legs, it is a quadruped. It is primarily tawny-colored with a cream underside. It has narrow black eyes, ears with ragged edges and dark insides, and large incisors that grow constantly. There are three whiskers on each side of its face, which it uses to maintain balance. It has short arms with three-fingered hands and webbed feet with three toes. The webbing on its feet allows it to swim. Its tail is long and scaly. A female will have shorter whiskers and lighter fur.
"
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,https://img.pokemondb.net/sprites/home/normal/spearow.png,"Spearow is an avian Pokémon that is very small. It has rough, brown plumage on its head and three brown tail feathers. It has narrow, dark brown eyes with white pupils and a short, hooked beak that is light pink. The feathers covering its wings are pinkish-red with lighter tips, and it has a beige underside with two thin, horizontal stripes. Its light pink feet have two toes in front and one in the back. Black feathers cover its back.
"
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,https://img.pokemondb.net/sprites/home/normal/fearow.png,"Fearow is a large, mostly brown avian Pokémon with a vulturine neck and broad, powerful wings. It has a long, pointed, pink beak and a decorative red coxcomb on top of its head. Its narrow eyes have very small pupils and do not appear to have colored irises. It has shaggy, feathers at the base of its neck and covering the upper portion of its wings. These feathers are cream-colored, as are the tips of its flight feathers. Its sharp-clawed talons are pink, with three toes pointing forward and one pointing backward.
"
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,https://img.pokemondb.net/sprites/home/normal/ekans.png,"Ekans is a purple, serpentine Pokémon. Its eyes, underbelly, the thick stripe around its neck, and rattle are yellow. Ekans has three pairs of black lines encircling its body, as well as another line that connects to each slit-pupiled eye and curves toward its nose. Its large mouth has a round, pink tongue and no visible teeth. While painful, a newborn Ekans's bite is not venomous. This Pokémon grows longer with age.
"
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,https://img.pokemondb.net/sprites/home/normal/arbok.png,"Arbok is a serpentine Pokémon that resembles a cobra. It has narrow eyes and several sharp teeth. Just below its head is a large hood with a face-like pattern. This pattern has over 20 possible variations. The pattern typically has two red and yellow eyespots outlined in black, a wide black streak resembling an upturned mouth, and a black V-shaped stripe above the eyespots.
"
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,https://img.pokemondb.net/sprites/home/normal/pikachu.png,"Pikachu is a short, chubby rodent Pokémon. It is covered in yellow fur with two horizontal brown stripes on its back. It has a small mouth, long, pointed ears with black tips, and brown eyes. Each cheek is a red circle that contains a pouch for electricity storage. It has short forearms with five fingers on each paw, and its feet each have three toes. At the base of its lightning bolt-shaped tail is a patch of brown fur. A female will have a V-shaped notch at the end of its tail, which looks like the top of a heart. It is classified as a quadruped, but it has been known to stand and walk on its hind legs.
"
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,https://img.pokemondb.net/sprites/home/normal/raichu.png,"Raichu is a bipedal, rodent-like Pokémon. Raichu is covered in dark orange fur with a white belly. Its bifurcated ears are brown on the outside, yellow on the insides, and end in a distinctive curl. There is a circular yellow marking on each cheek where its electric sacs are, and it has a triangular, dark brown nose. Its arms and feet have patches of brown fur at the end, and the soles of its long feet are tan with a circular orange pad in the center. On its back are two horizontal brown stripes. Its long, thin tail has a lightning bolt-shaped end. This lightning bolt is chipped on females. Raichu exudes a weak electrical charge from all its body and glows slightly in the dark.
"
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,https://img.pokemondb.net/sprites/home/normal/sandshrew.png,"Sandshrew is a bipedal pholidote Pokémon, but runs on all fours in the anime. Its brick-patterned yellow hide is dry, tough, blends in with desert sand, and protects its soft white underbelly and muzzle. Sandshrew has blue, almond-shaped eyes, a pointed snout, and triangular ears with white insides. Its tail is thick and conical. It has two long claws on each foot and three sharp claws on its forepaws, which are used to burrow.
"
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,https://img.pokemondb.net/sprites/home/normal/sandslash.png,"Sandslash is a bipedal, ground-dwelling pholidote Pokémon. Although Sandslash is usually bipedal, it can run on all fours. Most of its underside is light yellow with a white underbelly. It has a narrow muzzle, almond-shaped blue eyes, and a thick tail. Its back is mostly covered in sharp, brown quills formed from its tough, dry hide. It has two large claws on its paws and feet. These claws are its primary weapons and are used for slashing, but can also be used for burrowing. Its claws and spikes can both break off, but they grow back quickly and are shed regularly. Sandslash's broken parts can be used to carve plows for tilling farm fields. The claws can become harder and smoother if it lives in drier areas.
"
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,https://img.pokemondb.net/sprites/home/normal/nidoran♀.png,"Nidoran♀ is a small, quadrupedal, mammalian Pokémon. It has large, spiny ears; oversized front teeth; red eyes; and a pair of whiskers on each cheek. It is light blue with several darker blue spots. There are two white claws on each of its paws. Its back is covered with small toxic spines, and it has a small forehead horn.
"
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,https://img.pokemondb.net/sprites/home/normal/nidorina.png,"Nidorina is a quadrupedal, sky-blue mammalian Pokémon with dark-blue patches. It has red eyes, large, spiny ears, and has two pointed teeth protruding from its upper jaw. It possesses large poison spikes, which it retracts whenever it is with a group, feeding its children, or while resting in its burrow. Its paws have three claws each, and it is able to stand on its hind legs. The hind legs are longer and thicker than its forelegs. It has a stubby tail. Nidorina is a female-only species.
"
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,https://img.pokemondb.net/sprites/home/normal/nidoqueen.png,"Nidoqueen is a large, bipedal blue mammalian Pokémon with distinct reptilian features. Its body is encased with extremely hard scales that serve as excellent protection from any attack and stand up when Nidoqueen is excited or provoked. It has a blunt snout, narrow brown eyes, and large ears with brown insides. There is a small horn on its forehead, a single spine on each ear, and a line of toxic spikes running down the length of its back. Each hand has three short claws and each foot was two claws. Its lower jaw, the front of its abdomen, and two plates on its chest are cream-colored. It has a thick, powerful tail. Nidoqueen is a female-only species.
"
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,https://img.pokemondb.net/sprites/home/normal/nidoran♂.png,"Nidoran♂ is a small, quadrupedal, mammalian Pokémon. It is pinkish purple with darker patches. It has large, spiny ears with teal insides, oversized front teeth, and red eyes. Its back is covered with three lines of large spines that can release potent poisons if threatened. The center line of spines is taller than the other two. The size of the long, pointed horn on its forehead is indicative of the strength of its venom. Nidoran♂ is a male-only species.
"
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,https://img.pokemondb.net/sprites/home/normal/nidorino.png,"Nidorino is a light-purple, quadrupedal mammalian Pokémon. It has several darker purple patches across its body. It has large, spiny ears with teal insides, narrow black eyes, and a long snout with two pointed teeth protruding from the upper jaw. Nidorino has a ridge of toxic spines on its back and a long pointed horn on its forehead. The horn is harder than a diamond and capable of secreting poison on impact. The more adrenaline Nidorino has in its body, the more potent the poison is. Its short legs have three claws on each foot. Nidorino is a male-only species.
"
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,https://img.pokemondb.net/sprites/home/normal/nidoking.png,"Nidoking is a large, bipedal, purple mammalian Pokémon with distinct reptilian features. It has narrow eyes, large, spiny ears, fur-like tufts on its cheeks, and a short snout filled with pointed teeth. There is a long, venomous horn on its forehead and a ridge of spines down its back. Gray plates cover its chest and belly, and there is a gray, rounded spine on each elbow. Each hand has three claws, while each foot has only a single hoof-like nail. It has a long, powerful tail. Nidoking is a male-only species.
"
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,https://img.pokemondb.net/sprites/home/normal/clefairy.png,"Clefairy is a bipedal, pink Pokémon with a chubby, vaguely star-shaped body. A small, pointed tooth protrudes from the upper left corner of its mouth. It has wrinkles beside its black, oval eyes, a single dark pink oval marking on each cheek, and large, pointed ears with brown tips. A tuft of fur curls over its forehead, much like its large, upward-curling tail. Each stocky arm has two small claws and a thumb on each hand and both feet have a single toenail. There is a pair of tiny, butterfly-shaped wings on its back. Though incapable of flight, Clefairy's wings can store moonlight and allow it to float.
"
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,https://img.pokemondb.net/sprites/home/normal/clefable.png,"Clefable is a tall, pink Pokémon with a vaguely star-shaped body. It has long, pointed ears with dark brown tips and black, oval eyes with wrinkles on either side. A curled lock of fur hangs over its forehead, much like its long, tightly curled tail. On its back is a pair of dark pink wings; each wing has three points. Its hands have three fingers each, and its feet have two clawed toes and dark pink soles.
"
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,https://img.pokemondb.net/sprites/home/normal/vulpix.png,"Vulpix is a small, quadrupedal, canine Pokémon. It has a red-brown pelt with a cream-colored underbelly. It has brown eyes, large, pointed ears with dark brown insides, and a triangular dark brown nose. Its paws are slightly darker than the rest of its pelt and have light brown paw pads. On top of its head are three curled locks of orange fur with bangs, and it has orange tails with curled tips. It is most commonly seen with six tails. However, Vulpix is born with only a single, white tail that splits as Vulpix grows. The tails grow hot as it approaches evolution.
"
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,https://img.pokemondb.net/sprites/home/normal/ninetales.png,"Ninetales is a quadrupedal canine Pokémon covered in thick, luxurious golden-white fur. It has a small mane of thicker fur around its neck and a long, fluffy crest atop its head. It has slender legs with three-toed paws and nine, long tails with pale orange tips. It has red eyes, pointed ears, and a triangular black nose.
"
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png,"Jigglypuff is a pink Pokémon with a spherical body. It has pointed ears with black insides and large, blue eyes. It has small, stubby arms and slightly longer feet. On top of its head is a curled tuft of fur. Its body is filled with air and, as seen in Pokémon Stadium, Jigglypuff can deflate until it is flat. It is able to float by drawing extra air into its body, as demonstrated in Super Smash Bros.
"
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,https://img.pokemondb.net/sprites/home/normal/wigglytuff.png,"Wigglytuff is a balloon-like Pokémon with leporine features, a bean-shaped body and stubby arms and legs. There is a fluffy, curled tuft of fur on its head, which is described as perfectly heavenly. It has long, rabbit-like ears with black insides and slightly lighter color at the tips. Its large, blue eyes are covered in a layer of tears that quickly washes away any debris. It is covered in pink fur with a white belly. This fine layer of fur is so soft that those who touch it, including other Wigglytuff, will not want to stop. As a result, Wigglytuff is a highly sought after Pokémon because of its bouncy body and fur. It sheds seasonally, and people gather the fur to spin into yarn. It is proud of its fine and delicate fur.
"
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,https://img.pokemondb.net/sprites/home/normal/zubat.png,"Zubat is a blue, chiropteran Pokémon. While it lacks eyes, it has pointed ears with purple insides and a mouth with two sharp teeth on each jaw. A male will have larger fangs than a female. It has purple wing membranes supported by two, elongated fingers, and two long, thin tails.
"
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,https://img.pokemondb.net/sprites/home/normal/golbat.png,"Golbat is a large, blue, chiropteran Pokémon with purple wing membranes. It has small eyes with slit-like pupils, along with tiny triangular ears with purple insides, and a massive mouth with two fangs in each jaw. The fangs are smaller on a female Golbat. While its mouth seems to be otherwise empty, Golbat occasionally displays a long, purple tongue. It has short legs with long, tiny feet. Despite this, Golbat can walk skillfully on the ground.
"
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,https://img.pokemondb.net/sprites/home/normal/oddish.png,"Oddish is a Pokémon that resembles a blue plant bulb or a root vegetable. It has a round body, beady red eyes, a small mouth, and ovoid feet. Five large, green leaves sprout from its head. As demonstrated in the anime, these leaves are prehensile and can be used to scale vertical surfaces and catch light objects. Known by the scientific name Oddium Wanderus, Oddish lives in grasslands.
"
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,https://img.pokemondb.net/sprites/home/normal/gloom.png,"Gloom is a blue, bipedal Rafflesia-like Pokémon with rudimentary hands and feet. On its head is a flower with spherical petals surrounded by four reddish-brown leaves. The petals are a dark reddish-brown and have white spots. A female displays a single large spot on each petal, while a male will have many smaller spots. Gloom's eyes are wide and often appear closed and its lips are thin and purple.
"
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,https://img.pokemondb.net/sprites/home/normal/vileplume.png,"Vileplume is an indigo, bipedal Rafflesia-like Pokémon with rudimentary hands and feet. It has beady red eyes and a small mouth, and its head and torso are a single joined segment. On its head is a massive red flower with five bulky petals and an orange-brown center. Vileplume's flower is said to have the largest petals in the world and is almost too heavy for the Pokémon itself to support. The rounded petals of the flower are red and covered with white spots. A female Vileplume has fewer, but larger, spots on its petals.
"
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,https://img.pokemondb.net/sprites/home/normal/paras.png,"Paras is an orange, insectoid Pokémon that resembles the nymph stage of a cicada. Its ovoid body is segmented, and it has three pairs of legs. The foremost pair of legs is the largest and has sharp claws at the tips. There are five specks on its forehead and three teeth on either side of its mouth. It has circular eyes with large pseudopupils.
"
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,https://img.pokemondb.net/sprites/home/normal/parasect.png,"Parasect is an orange, insectoid Pokémon that has been completely overtaken by the parasitic mushroom on its back. It has a small head with pure white eyes and a segmented body that is mostly hidden by the mushroom. It has three pairs of legs with the foremost pair forming large pincers. The fungus growing on its back has a large red cap with yellow spots throughout.
"
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,https://img.pokemondb.net/sprites/home/normal/venonat.png,"Venonat is an insect Pokémon with a spherical body covered in purple fur. The fur releases a toxic liquid and it spreads when shaken violently off their bodies. A pink pincer-like mouth with two teeth, stubby forepaws, and a pair of two-toed feet are visible through its fur. Its limbs are light tan. There is also a pair of white antennae sprouting from the top of its head. However, the most prominent feature on its face are its large, red compound eyes. Venonat's highly developed eyes act as radar units and can shoot powerful beams.
"
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,https://img.pokemondb.net/sprites/home/normal/venomoth.png,"Venomoth is a lepidopteran insect Pokémon whose body is varying shades of purple. Its head and thorax are both light purple, and it has bulbous, round, light blue eyes, a small mandible, and a three-point crest on its head. Tucked close to its thorax are three pairs of tiny, whitish legs. Its abdomen is paler with several black, zigzagging stripes encircling it. It has two pairs of pale purple moth-like wings with thin black venation.
"
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,https://img.pokemondb.net/sprites/home/normal/diglett.png,"Diglett is a tiny, brown Pokémon that seems to be perpetually buried within the earth, leaving only its head visible. Its small stature makes it both the lightest and shortest Ground-type. It has beady black eyes and a large, round, pink nose. A Diglett in Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team mentions that it has feet, though their size and appearance are unknown. It spends much of its time underground and has very thin skin. If Diglett is exposed to sunlight, its blood will heat up and cause it to grow weak.
"
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,https://img.pokemondb.net/sprites/home/normal/dugtrio.png,"Dugtrio is a set of Diglett triplets sharing a single body, although no one knows what its body looks like since it's perpetually buried underground. Each head is incredibly tough with a smooth surface, and has brown skin, black eyes, and a large, round, pink nose. Dugtrio's three heads think the same thoughts and act cooperatively, though on rare occasions may fight over which head gets to eat first. In order to make burrowing easier, each head will bob up and down to loosen the soil. Dugtrio can tunnel under the earth at 60 mph (100 km/h) to a depth of 60 miles (100 kilometers), triggering tremors and earthquakes. It is capable of burrowing endlessly. Dugtrio lives in tunnels and caves under the earth. Dugtrio is considered important for agriculture as its digging aerates the soil and makes it suitable for farming. As shown in the anime, Dugtrio sometimes lives in hollow trees in forests. It maintains the soil and plants trees to revitalize wooded areas. In Generation II, Fissure was its signature move.
"
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,https://img.pokemondb.net/sprites/home/normal/meowth.png,"Meowth is a small, feline Pokémon with cream-colored fur that turns brown at the tips of its hind paws and tail. Its ovoid head features four prominent whiskers, wide eyes with slit pupils, two pointed teeth in the upper jaw, and a gold koban coin embedded in its forehead. Its ears are black with brown interiors and are flanked with an additional pair of long whiskers. Meowth is a quadruped with the ability to walk on its hind legs; while the games almost always depict Meowth on two legs, the anime states that Meowth normally walks on all fours. It can freely manipulate its claws, retracting them when it wants to move silently. The tip of its tail curls tightly.
"
